acousticness,album,album_id,artist,artists_id,danceability,disc_number,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,playlist,popularity,preview_url,speechiness,tempo,time_signature,track_number,uri,valence
0.702,I'm Right Behind You Baby,63nGMaaO6URJHiV64vGyR7,Ray Smith,4SGITJm1kRaIEoqEwv360I,0.6,1,146909,0.672,7wHEWQH7RyrXRailkuNubs,1.76e-06,9,0.0762,-15.91,0,Right Behind You Baby,The Sound of Everything,28,https://p.scdn.co/mp3-preview/ddbcef002f8f4929cb693bc0aa6197a9ccfaba12?cid=774b29d4f13844c495f206cafdad9c86,0.0549,88.046,4,3,spotify:track:7wHEWQH7RyrXRailkuNubs,0.967
0.192,The Besnard Lakes Are the Last of the Great Thunderstorm Warnings,5LKALkXrBzFK6MGkMv9u3o,The Besnard Lakes,2hMif9QK1Knz7gD5XIUsER,0.433,1,310293,0.562,1mjkY44ZJmNpqF6NelUpjl,0.894,9,0.122,-8.053,1,Raindrops,The Sound of Everything,18,https://p.scdn.co/mp3-preview/829fd52162438eb54f974866d8d2d2f19e048807?cid=774b29d4f13844c495f206cafdad9c86,0.0288,137.973,4,2,spotify:track:1mjkY44ZJmNpqF6NelUpjl,0.549
0.595,Are You Gone,7q7IxhClT1SXLfb9NkM2mv,Sarah Harmer,0RyvcOVrlV86NmFz0MrG9e,0.632,1,194000,0.406,5MmYz0XcLmhTkjSVJriSlZ,0.0,11,0.112,-8.77,0,St. Peter's Bay,The Sound of Everything,38,https://p.scdn.co/mp3-preview/ea8c7612540b52552cca32ff7b9ea87f3ea3c209?cid=774b29d4f13844c495f206cafdad9c86,0.0294,125.294,4,1,spotify:track:5MmYz0XcLmhTkjSVJriSlZ,0.42
0.975,Life of Pi,0ogV7CBV00ONXAVx4tm0gk,Mychael Danna,0x8J72N9ilqcIZbWEKB8T2 AND 2ZeUaZT3s3NSbeV7OS094J AND 2AsTOe6hUcTtX5vvvMNOma,0.173,1,169533,0.129,1RxaEvQCmT36nIZFYjpk5F,0.964,6,0.101,-20.377,0,Tsimtsum,The Sound of Everything,51,https://p.scdn.co/mp3-preview/f6bbd55f4b1a647dd9516509c3a6e97c84eaca88?cid=774b29d4f13844c495f206cafdad9c86,0.042,62.98,4,12,spotify:track:1RxaEvQCmT36nIZFYjpk5F,0.0339
1.64e-05,Head Smashed In,2VSqgmpVulvNEeIoxZGJVw,We Hunt Buffalo,6Bz2ZeTKI0cyJwt7tBKoUU,0.38,1,290965,0.906,4tLIZnSxxoVG2CtJkO0ov3,0.0524,8,0.125,-3.922,1,Heavy Low,The Sound of Everything,37,https://p.scdn.co/mp3-preview/b058767a50f597addfc890117b57fb826a55e448?cid=774b29d4f13844c495f206cafdad9c86,0.0675,118.959,4,1,spotify:track:4tLIZnSxxoVG2CtJkO0ov3,0.304
0.46,Means What's It Means,2RwM63vppNbZbZzGTdE6r5,The Ellis Collective,00ODNipDWz2p6RWcHTpFvV,0.51,1,218640,0.537,37vNDtRhe5xiglWavyaMqd,0.000185,2,0.103,-7.772,1,7 Days Later,The Sound of Everything,2,https://p.scdn.co/mp3-preview/8ade90cb70665cbe047933f894377deebc48ca71?cid=774b29d4f13844c495f206cafdad9c86,0.0304,152.228,4,3,spotify:track:37vNDtRhe5xiglWavyaMqd,0.512
0.107,Salta Sin Parar,62ZrCf5Cga4GOFwydND33r,Tatiana,60alJNnwGVBdNXrx4kOfW0,0.881,1,220147,0.783,4hvvHArCGmuYoCcoI3Bqx9,0.0,2,0.234,-6.223,1,No Me Quiero Bañar,The Sound of Everything,56,https://p.scdn.co/mp3-preview/34135d3d7e33fd6b0836ebe531ad05b2f577ccc3?cid=774b29d4f13844c495f206cafdad9c86,0.222,140.028,4,2,spotify:track:4hvvHArCGmuYoCcoI3Bqx9,0.91
0.0693,Escúchame,6xFDhmKZHP8nnUewCwcnTu,Mari Trini,0CVHw8AAgA5brxfblp1lsQ,0.578,1,152907,0.633,4wJNcICQAv1ZNj8tkoMJab,0.0,2,0.369,-4.967,0,Yo no soy esa,The Sound of Everything,49,https://p.scdn.co/mp3-preview/1fbb51e3fa6e71b334198da37fe1a8474a1fb2b9?cid=774b29d4f13844c495f206cafdad9c86,0.0324,120.909,4,8,spotify:track:4wJNcICQAv1ZNj8tkoMJab,0.729
0.69,Caixinha de Sonhos - O Melhor da Música Infantil,75xGrfeN38tXyuNyEZU4va,Caixinha de Sonhos,15v7to1zlv3FdqFrNAfulq,0.843,3,154987,0.39,5886DeQCuVz5UxMdVoeDOv,4.95e-06,5,0.11,-9.294,1,Os Olhos da Marianita,The Sound of Everything,10,https://p.scdn.co/mp3-preview/28974b7333f1d20edeadb3a423d67e6da95cfbdf?cid=774b29d4f13844c495f206cafdad9c86,0.0423,94.968,4,18,spotify:track:5886DeQCuVz5UxMdVoeDOv,0.95
0.758,La Tambora,41wn3pHAuox5ZqLPVRE2S9,Jorginho Gularte,5Mbaa181nhwKuOXtrrXKVQ AND 6QUIUOFH1u1CqNrx25anz4 AND 1SAbi2eEkJLnZEb6C2nUDG,0.657,1,320267,0.581,2zzGusC3mwl7UwNiJ8TQwA,0.00041,0,0.11,-11.311,1,"Tambor, Tambora",The Sound of Everything,22,https://p.scdn.co/mp3-preview/5a6b3342a2ece487153c18488c9d0511674daba3?cid=774b29d4f13844c495f206cafdad9c86,0.142,92.141,4,1,spotify:track:2zzGusC3mwl7UwNiJ8TQwA,0.856
0.739,Obatalá - uma Homenagem a Mãe Carmen,3gPzm2jkDcZn6LOOXlpn8F,Grupo Ofa,0ZxnMyU9fNiII9SndpyRSN AND 0rSTXALHu0EKAawPLBdODH AND 7oEkUINVIj1Nr3Wnj8tzqr,0.639,1,233500,0.451,35cPD030CEJlt3ffjIxOHU,0.000258,7,0.408,-12.921,0,Ara Wa Romi Wa - Oxun la Omiro - Orixá Oxum,The Sound of Everything,38,https://p.scdn.co/mp3-preview/6c6e57f4657389625785b12f4382c9a3f964f9bc?cid=774b29d4f13844c495f206cafdad9c86,0.0456,129.014,1,7,spotify:track:35cPD030CEJlt3ffjIxOHU,0.558
0.0136,The Spirit Room,1agL7TUoZXr0Xd4Irievqi,Michelle Branch,5rScKX1Sh1U67meeUyTGwk,0.523,1,214827,0.828,1u0l8zWpQeMYStFkc2mLD7,0.000255,1,0.165,-4.696,1,Everywhere,The Sound of Everything,64,https://p.scdn.co/mp3-preview/020e04b331b6ada13496304889a4a2ca0fb8aa6c?cid=774b29d4f13844c495f206cafdad9c86,0.0762,96.952,4,1,spotify:track:1u0l8zWpQeMYStFkc2mLD7,0.476
