acousticness,album_id,artists_id,danceability,disc_number,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,name,playlist,popularity,speechiness,tempo,time_signature,track_number,valence
0.0567,64altPXDNN3HLiKrQ7Nmil,5XqyqoLZXA69lCNyBT3f89,0.451,1,478915,0.67,6GPRv6A2EWzq3ZjizJAIbV,0.847,1,0.154,-11.46,1,No Más,000 - HOT // WAITING ROOM,16,0.0559,121.062,4,3,0.644
0.054,7BUOB3lBylykgBnXYOkoep,"2k4rFvTvrQosTxUTqHN0ib,2RdnkH5txHb9c4vGwq0I31",0.737,1,172373,0.863,4udrawEUlL1csirBZ1dCXW,0.754,11,0.108,-11.122,1,Pedal Pusher,000 - HOT // WAITING ROOM,6,0.071,100.025,4,13,0.552
0.75,7FJKoKn7zy2OET6KtiJJp7,4kIwETcbpuFgRukE8o7Opx,0.606,1,221804,0.589,4S6PolgPZ5OLph314ww8Fg,0.0102,7,0.0922,-7.194,0,Eugene,000 - HOT // WAITING ROOM,66,0.0456,174.285,4,1,0.889
0.194,6z8arLj8lWDoxk99ayMYlz,3AA28KZvwAUcZuOKwyblJQ,0.672,1,209387,0.896,7fauHdoM0hnyxl0vO8biTo,0.0,0,0.299,-3.986,1,19-2000 - Soulchild Remix,000 - HOT // WAITING ROOM,34,0.0526,102.045,4,1,0.895
0.159,7EHu93TNC8SAvYl7lMeQ6p,039zhJoEkboZ8Ii6K40Fb6,0.801,1,182297,0.527,5lUnRfuxQe2nQ7NGgbThPe,0.000365,2,0.101,-9.369,0,Prey,000 - HOT // WAITING ROOM,45,0.0944,140.005,4,1,0.477
0.00132,00oRZEMdefGTngzxWArYfs,46MWeeHNVMYRIIofQBEX98,0.905,1,155297,0.453,2mfVW6i0el4OEHB67fiPb5,0.0873,1,0.112,-11.888,1,UNDA ARMOR,000 - HOT // WAITING ROOM,55,0.16,147.038,4,4,0.243
0.0277,509VifKH3x4T8dhJp6RfVO,"6TshTCYwh9ySzOO6Jy4Ux2,6hhA8TKRNryM8FNzqCqdDO",0.78,1,232107,0.68,2CTUxUYyKkCTneqBWwbf5F,0.902,8,0.121,-8.693,0,Wait For You,000 - HOT // WAITING ROOM,16,0.0992,111.975,4,9,0.67
0.00968,79hWOEtP2YmH9OpL1Aeo4w,6wq0ypfSKR1Baqi4qoJWsq,0.662,1,190187,0.682,50e8KL7TnyNKLaWfCSr0xf,0.821,8,0.584,-6.519,0,Blue Avenue,000 - HOT // WAITING ROOM,42,0.0304,94.008,4,20,0.422
9.24e-05,4PmfGftZJyCJJXfffejrZm,1N2FgBLehaq77UEdJhCt7f,0.694,1,543613,0.578,1eBCqRTfuaoki3C9W4hKal,0.555,7,0.295,-9.06,1,Only Love Can Break Your Heart - Andrew Weatherall Mix,000 - HOT // WAITING ROOM,35,0.0428,100.848,4,1,0.481
0.872,2NhDf7SiTn63n0RhiL9bF5,"1Mxqyy3pSjf8kZZL4QVxS0,3uLEaCSipnNQy3KvmwpDrl",0.521,1,177980,0.176,00EXRg7vF7Vv4ghapqZTYq,1.92e-06,9,0.0836,-13.569,1,Learnin' the Blues,000 - HOT // WAITING ROOM,34,0.0411,128.157,4,21,0.685
0.0145,5F7t2oVAxnazEU21nbUZGc,7EFB09NxZrMi9pGlOnuBpd,0.365,1,364647,0.69,5UDWg4WCYA3R5lydLVz1FO,0.534,11,0.222,-9.641,0,Hologram,000 - HOT // WAITING ROOM,34,0.0661,172.136,4,1,0.161
0.961,2MHQZWD9fZfRTgi76yShmF,0fdMpCgMmSZBldDPwE0tA3,0.102,1,190868,0.121,57kFP5i5Pb07yWvETmT4cv,0.927,9,0.121,-20.37,0,Hard Halo,000 - HOT // WAITING ROOM,4,0.0362,162.547,4,2,0.303
0.0906,16BF4fvjjxlzrdKrUl4k5F,602DnpaSXJB4b9DZrvxbDc,0.742,1,201333,0.0899,2CeqxyOZEyiL6pTDYZ9gPH,0.0,9,0.113,-19.187,0,Fever,000 - HOT // WAITING ROOM,63,0.158,137.473,4,6,0.351
